m/z,stddev,PeakHeight,C,H,Neutral H,O,m/z2,stddev2,O/C,H/C,DBE,AI mod,Neutral Mass,KM(CH2),KMD(CH2),KM(COO),KMD(COO),KM(H2O),KMD(H2O),KM(H2),KMD(H2),KM(O),KMD(O),KM(C2H4O),KMD(C2H4O),KM(OCH2),KMD(OCH2),KMD(CH2),KMD(COO),KMD(H2O),KMD(H2),KMD(O),KMD(C2H4O),KMD(OCH2),see comment,Neutral Mass
649.119965,1,5965036,32,25,26,15,649.119894,0.1,0.46875,0.8125,20,0.510204082,650.1271702,649,0.401229,650,0.2774841,649,0.7458167,645,0.0794031,650,0.3338697,649,0.7400616,649,0.8983044,9,6,7,7,9,5,9,1,300.0270026
619.109442,1,9774371,31,23,24,14,619.109329,0.2,0.451612903,0.774193548,20,0.541666667,620.1166055,619,0.424174,620,0.2599807,619,0.7528557,615,0.3018488,620,0.3137635,619,0.7473663,619,0.8983044,9,6,6,6,10,6,9,1,300.048132
617.130094,1,8080707,32,25,26,13,617.130064,0,0.40625,0.8125,20,0.529411765,618.1373409,617,0.44712,618,0.2802585,617,0.7747522,613,0.3379518,618,0.3338697,617,0.7692802,617,0.9197366,10,6,7,6,9,5,9,1,300.0633881
607.073052,1,7208519,29,19,20,15,607.072944,0.2,0.517241379,0.689655172,20,0.581395349,608.08022,607,0.401229,608,0.2208123,607,0.7235306,603,0.3589171,608,0.2735512,607,0.7181477,607,0.8661561,9,7,6,7,10,5,8,1,300.0845175
601.098658,1,12044090,31,21,22,13,601.098764,-0.2,0.419354839,0.709677419,21,0.591836735,602.1060408,601,0.433721,602,0.2452519,601,0.7528557,597,0.4311231,602,0.2974726,601,0.7475257,601,0.89408,9,7,6,6,10,5,9,1,300.0997736
593.130079,1,6582519,30,25,26,13,593.130064,0,0.433333333,0.866666667,18,0.489361702,594.1373409,593,0.473919,594,0.2747096,593,0.7888302,589,0.5242944,594,0.3262392,593,0.7835707,593,0.9281854,10,5,5,7,10,6,9,1,302.0062672
591.114368,1,14612859,30,23,24,13,591.114414,-0.1,0.433333333,0.8,19,0.531914894,592.1216909,591,0.460519,592,0.2585935,591,0.7743625,587,0.5242944,592,0.3099483,591,0.7691208,591,0.9132449,10,6,5,7,10,5,9,1,302.0273965
589.062362,1,6679048,29,17,18,14,589.062379,0,0.482758621,0.620689655,21,0.636363636,590.0696553,589,0.410775,590,0.2060835,589,0.7235306,585,0.4881914,590,0.2572603,589,0.7183071,589,0.8619317,10,5,6,7,9,5,10,1,302.0426527
585.103912,1,11057959,31,21,22,12,585.10385,0.1,0.387096774,0.709677419,21,0.6,586.1111262,585,0.456666,586,0.2466391,585,0.7673235,581,0.5603974,586,0.2974726,585,0.762135,585,0.9047961,10,6,5,6,10,6,9,1,302.063782
581.093645,1,11365463,28,21,22,14,581.093679,-0.1,0.5,0.785714286,18,0.523809524,582.1009554,581,0.450973,582,0.2355412,581,0.759505,577,0.5813627,582,0.2860269,581,0.7543521,581,0.8960371,8,7,7,6,11,4,9,1,302.0790382
579.11444,1,12287216,29,23,24,13,579.114414,0,0.448275862,0.827586207,18,0.511111111,580.1216909,579,0.473919,580,0.255819,579,0.7814014,575,0.6174657,580,0.3061331,579,0.776266,579,0.9174693,10,6,7,7,9,5,8,1,302.1154237
571.088206,1,15351643,30,19,20,12,571.0882,0,0.4,0.666666667,21,0.625,572.0954761,571,0.456666,572,0.2277485,571,0.7598947,567,0.6535687,572,0.2773665,571,0.7548304,571,0.89408,10,5,6,7,10,5,9,1,304.0219172
565.062412,1,10582290,27,17,18,14,565.062379,0.1,0.518518519,0.666666667,19,0.6,566.0696553,565,0.437574,566,0.2005345,565,0.7376086,561,0.6745340,566,0.2496298,565,0.7325975,565,0.8703805,10,6,7,7,10,4,8,1,304.0430466
555.114327,1,8567661,27,23,24,13,555.114414,-0.2,0.481481481,0.888888889,16,0.463414634,556.1216909,555,0.500717,556,0.25027,555,0.7954794,551,0.8038083,556,0.2985026,555,0.7905565,555,0.925918,9,5,6,7,10,6,9,1,304.0583027
555.093245,1,11969390,30,19,20,11,555.093285,-0.1,0.366666667,0.666666667,21,0.632653061,556.1005615,555,0.479612,556,0.2291358,555,0.7743625,551,0.7828430,556,0.2773665,555,0.7694397,555,0.9047961,10,5,5,8,10,5,9,1,304.0946882
